Iteration	Replicate_ID	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]
142	0	-199.0024	-111.3953	-87.60715	1	0.0216295	0.0424481	0.429869	0.72802	0.0785395	0.326553	0.358753	0.458199	0.405495
143	1	-172.8573	-112.4409	-60.41635	1	0.00318738	0.0486559	0.232528	0.169387	0.152375	0.158968	0.327773	0.638537	0.265589
144	0	-186.2924	-110.1132	-76.1791	1	0.018637	0.0257704	0.220958	0.292457	0.103338	0.189212	0.20788	0.172389	0.280734
145	1	-164.2883	-110.0359	-54.2524	1	0.0322819	0.0512934	0.513346	0.366054	0.404292	0.622445	0.733754	0.62924	0.525652
146	0	-190.5037	-112.9279	-77.57578	1	0.00136807	0.0126039	0.153634	0.19559	0.0816215	0.117685	0.310972	0.265362	0.206717
147	1	-167.4472	-113.4469	-54.00034	1	0.0443312	0.0417959	0.448389	0.479428	0.389445	0.666668	0.626601	0.393835	0.390119
148	0	-219.9574	-110.8205	-109.137	1	0.00998217	0.0508004	0.349388	0.391077	0.0660365	0.278791	0.171323	0.143339	0.182935
149	1	-180.4763	-110.4344	-70.04188	1	0.0186206	0.020053	0.237037	0.24665	0.219278	0.35709	0.32939	0.147203	0.148989
150	0	-255.0778	-109.995	-145.0828	1	0.00323791	0.0151485	0.186165	0.275127	0.140658	0.369882	0.286427	0.266083	0.482494
151	1	-195.918	-114.2805	-81.63749	1	0.0725792	0.0517761	0.109693	0.220574	0.194467	0.195307	0.191266	0.283006	0.085709
152	0	-223.2393	-112.4623	-110.777	1	0.0705291	0.0855942	0.224374	0.26102	0.129973	0.291411	0.307863	0.0755921	0.0616948
153	1	-174.8112	-114.5708	-60.24043	1	0.0568958	0.0670357	0.556515	0.378658	0.368892	0.371622	0.348735	0.406604	0.144511
154	0	-215.5816	-117.6586	-97.92302	1	0.118374	0.120553	0.243549	0.279404	0.11179	0.133301	0.10878	0.114859	0.11389
155	1	-142.7976	-116.8163	-25.98131	1	0.172659	1.04137	1.03613	1.08412	1.03171	0.968112	0.998666	0.693302	0.707543
156	0	-206.6164	-117.22	-89.39631	1	0.214888	0.156781	0.142816	0.217413	0.206342	0.229744	0.244222	0.237183	0.161849
157	1	-159.44	-116.8122	-42.62781	1	0.459286	0.771818	0.613432	0.708309	0.588357	0.458478	0.327356	0.32739	0.323889
158	0	-181.1756	-117.3889	-63.78671	1	0.175929	0.126107	0.120667	0.779719	0.349729	0.376545	0.330203	0.308124	0.340001
159	1	-136.4854	-115.8949	-20.59056	1	0.254714	0.262232	0.280291	0.278101	0.279367	0.278672	0.303615	0.304347	0.307878
160	0	-165.0337	-114.4444	-50.58924	1	0.158091	0.174367	0.55814	0.546014	0.382644	0.390843	0.16872	0.182934	0.181258
161	1	-117.2273	-116.5038	-0.7234636	1	0.372316	0.371857	0.369967	0.370655	0.37488	0.374005	0.373285	0.370299	0.362212
162	0	-164.0397	-113.1281	-50.91158	1	0.0463482	0.403158	0.409454	0.360719	0.358297	0.217325	0.308711	0.309	0.337735
163	1	-119.5819	-115.808	-3.773988	1	0.262146	0.268848	0.26915	0.268319	0.264291	0.264265	0.259149	0.254724	0.251928
164	0	-147.0787	-115.0736	-32.00508	1	0.238452	0.309686	0.367982	0.357103	0.0943269	0.224142	0.350433	0.345305	0.361155
165	1	-157.9306	-116.1119	-41.81874	1	0.295479	0.295704	0.25033	0.252963	0.246585	0.210688	0.255722	0.240246	0.13366
166	0	-166.3499	-115.9967	-50.35325	1	0.314346	0.314814	0.307046	0.315374	0.261449	0.287981	0.248619	0.238875	0.226396
167	1	-161.1232	-118.1172	-43.00603	1	0.34965	0.395228	0.811596	0.63527	0.398804	0.384467	0.455079	0.449287	0.42752
168	0	-150.5208	-117.4035	-33.1173	1	0.470193	0.485448	0.485843	0.484555	0.485264	0.481647	0.467123	0.467471	0.464114
169	1	-157.5151	-119.3229	-38.19222	1	0.412566	0.417984	0.41802	0.42545	0.439577	0.415405	0.403061	0.235904	0.214259
170	0	-164.1744	-117.3038	-46.87069	1	0.297673	0.284304	0.297347	0.297901	0.294232	0.281984	0.282845	0.277741	0.261786
171	1	-145.467	-115.1561	-30.31086	1	0.564787	0.555024	0.631755	0.458063	0.510946	0.522402	0.455076	0.437574	0.33816
172	0	-165.8115	-116.4257	-49.38586	1	0.191698	0.194194	0.164394	0.167509	0.208187	0.240741	0.241396	0.243299	0.247606
173	1	-170.7433	-118.494	-52.24931	1	0.443969	0.471277	0.391191	0.371546	0.654303	0.623924	0.444144	0.403016	0.413411
174	0	-170.1796	-117.501	-52.6786	1	0.290068	0.284105	0.696022	0.741416	0.609278	0.592632	0.455112	0.642367	0.636318
175	1	-152.2862	-117.0791	-35.20711	1	0.37948	0.254625	0.280014	0.368785	0.372689	0.441699	0.368154	0.410047	0.391446
176	0	-177.0781	-117.3324	-59.7457	1	0.28092	0.970358	0.952283	0.861207	0.842267	0.686175	0.727346	0.7085	1.58623
177	1	-167.534	-122.5359	-44.99811	1	0.363922	0.543058	0.483146	0.621098	0.599595	0.463797	0.37766	0.393826	0.386335
178	0	-147.6594	-115.441	-32.21843	1	0.531476	0.497181	0.495622	0.523229	0.482604	0.44779	0.509421	0.511741	0.511855
179	1	-160.4803	-115.1093	-45.37103	1	0.419796	0.417315	0.414447	0.358797	0.376207	0.30808	0.373245	0.206815	0.201923
180	0	-168.7458	-118.5542	-50.19163	1	0.312545	0.327117	0.330484	0.315364	0.338018	0.318753	0.331659	0.349506	0.352718
