Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]
148	0	-219.9574	-110.8205	-109.137	0.987828	3.59371e-38	1.06541e-42	1.22024e-44	1.17049e-20	4.55867e-20	1.13591e-15	1.09148e-26	8.35564e-30	5.18765e-35
149	1	-180.4763	-110.4344	-70.04188	0.985294	1.76961e-05	1.17179e-05	1.22338e-05	0.000154485	4.18888e-05	0.000163623	0.000156943	9.73344e-05	0.000100023
150	0	-255.0778	-109.995	-145.0828	0.997147	1.93075e-13	6.72369e-32	1.70882e-32	1.16301e-63	8.22443e-183	2.57491e-165	0	0	0
151	1	-195.918	-114.2805	-81.63749	0.916228	3.29906e-06	1.02947e-08	3.08317e-09	2.18549e-09	3.08259e-09	2.87602e-09	3.37973e-08	6.18638e-08	1.38662e-07
152	0	-223.2393	-112.4623	-110.777	0.944356	0.0022965	0.000720937	1.74338e-09	1.08035e-131	8.37693e-135	1.11898e-141	2.05838e-139	1.86583e-148	3.16717e-143
153	1	-174.8112	-114.5708	-60.24043	0.798762	0.327822	0.339262	0.0910296	0.233026	0.323173	0.208602	0.187073	0.0164813	0.0047534
154	0	-215.5816	-117.6586	-97.92302	0.951752	0.589057	1.04547e-09	5.99462e-25	2.06541e-31	1.84574e-37	8.5931e-43	1.40456e-41	1.938e-21	0.0480598
155	1	-142.7976	-116.8163	-25.98131	0.945756	0.888482	0.877196	0.888021	0.728072	0.586632	0.471267	0.463049	0.461093	0.463407
156	0	-206.6164	-117.22	-89.39631	0.927333	2.7417e-05	1.37254e-05	2.42429e-16	5.51637e-17	1.18391e-65	4.02314e-60	1.97325e-59	2.74158e-59	8.43474e-59
157	1	-159.44	-116.8122	-42.62781	0.987519	1.02921	0.519186	0.561298	0.296939	0.312241	0.0648689	0.0664985	0.063286	0.0547624
158	0	-181.1756	-117.3889	-63.78671	0.957173	1.00605	0.0475879	0.0531475	0.0468306	0.00274438	0.00388094	0.00224875	0.00367069	0.00223483
159	1	-136.4854	-115.8949	-20.59056	0.86753	0.807211	0.0575438	0.0553625	0.0568708	0.0340787	0.0419072	0.0476576	0.0403077	0.0362154
160	0	-165.0337	-114.4444	-50.58924	0.950229	0.599435	0.590149	0.0229402	0.0260564	0.0259835	0.0265576	0.0231161	0.0219184	0.0202596
161	1	-117.2273	-116.5038	-0.7234636	0.958474	0.898066	0.0230374	0.0238848	0.0238588	0.0216015	0.0216743	0.0213397	0.0258949	0.0262743
