Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	log_extinction[1]	log_extinction[2]	log_speciation[1]	log_speciation[2]	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	speciation[1]	speciation[2]
126	-16894.23	-16894.55	0.3186151	0.76686	0.422118	-0.265451	-0.86247	-0.0110764	-0.320446	0.001013133	9.860955e-05	0.549943	0.450057	0.988985	0.725825
127	-16896.23	-16896.38	0.1514383	0.830324	0.408954	-0.185939	-0.894153	-0.0110764	-0.339309	0.001013133	6.502832e-05	0.549943	0.450057	0.988985	0.712262
128	-16894.29	-16894.81	0.517524	0.767185	0.403371	-0.265028	-0.907898	-0.0110764	-0.339309	0.001013133	4.518668e-05	0.735515	0.264485	0.988985	0.712262
129	-16895.53	-16895.8	0.2681236	0.80718	0.438159	-0.214209	-0.825174	-0.0110764	-0.339309	0.0007328865	5.132508e-05	0.345892	0.654108	0.988985	0.712262
130	-16895.9	-16896.31	0.4159483	0.80718	0.438338	-0.214209	-0.824766	-0.0169627	-0.339309	0.0005082663	4.741115e-05	0.270351	0.729649	0.98318	0.712262
131	-16897.67	-16897.79	0.1141215	0.738193	0.413424	-0.30355	-0.883282	-0.0169627	-0.329558	0.001915281	7.409972e-05	0.434342	0.565658	0.98318	0.719242
132	-16896.23	-16896.52	0.2923329	0.705038	0.427587	-0.349504	-0.849598	-0.0700673	-0.280878	0.001915281	3.430812e-05	0.434342	0.565658	0.932331	0.755121
133	-16893.01	-16893.08	0.07117887	0.726147	0.475286	-0.320003	-0.743839	-0.0743897	-0.280878	0.001650084	5.008092e-05	0.638667	0.361333	0.92831	0.755121
134	-16892.1	-16892.48	0.3741849	0.725415	0.475286	-0.321012	-0.743839	-0.0561815	-0.280878	0.0009270833	5.008092e-05	0.638667	0.361333	0.945368	0.755121
135	-16893.35	-16894.03	0.6779279	0.746683	0.455548	-0.292115	-0.786255	-0.0788807	-0.280878	0.0005422254	5.008092e-05	0.317715	0.682285	0.92415	0.755121
136	-16893.29	-16894.28	0.9915511	0.690136	0.454253	-0.370867	-0.789102	-0.0788807	-0.26935	0.0004437924	5.008092e-05	0.327678	0.672322	0.92415	0.763876
137	-16893.88	-16895.09	1.203721	0.702131	0.423158	-0.353636	-0.860011	-0.059823	-0.319627	0.000396196	0.0001027162	0.428218	0.571782	0.941931	0.72642
138	-16894.9	-16896.18	1.277327	0.763698	0.396834	-0.269583	-0.924237	-0.059823	-0.370903	0.0002983244	7.788191e-05	0.760157	0.239843	0.941931	0.690111
139	-16893.85	-16895.62	1.767192	0.69894	0.396834	-0.35819	-0.924237	-0.0964285	-0.375802	0.00037857	6.766612e-05	0.760157	0.239843	0.908075	0.686738
140	-16893.42	-16895.5	2.072077	0.656809	0.391495	-0.420362	-0.937782	-0.144455	-0.370492	0.0006097816	0.00010625	0.827468	0.172532	0.865494	0.690395
141	-16898.05	-16900.76	2.710896	0.61491	0.370147	-0.48628	-0.993854	-0.177264	-0.420811	0.0006097816	0.0001512503	0.372496	0.627504	0.837558	0.656514
142	-16893.74	-16895.87	2.133161	0.597029	0.434937	-0.515789	-0.832555	-0.202618	-0.333054	0.0009056343	7.586224e-05	0.677492	0.322508	0.81659	0.716732
143	-16895.52	-16897.63	2.103084	0.597029	0.418479	-0.515789	-0.871128	-0.162256	-0.28245	0.0004468443	6.452415e-05	0.677492	0.322508	0.850223	0.753934
144	-16892.75	-16894.74	1.989378	0.597029	0.450709	-0.515789	-0.796934	-0.162256	-0.296791	0.0004468443	5.561442e-05	0.677492	0.322508	0.850223	0.743199
145	-16892.05	-16893.95	1.895274	0.62657	0.435289	-0.467495	-0.831746	-0.152685	-0.296791	0.0004228038	3.255436e-05	0.677492	0.322508	0.8584	0.743199
146	-16892.35	-16894.08	1.735711	0.655834	0.43577	-0.421847	-0.830641	-0.152685	-0.296791	0.0004228038	2.85266e-05	0.60434	0.39566	0.8584	0.743199
147	-16894.3	-16896.46	2.16273	0.599361	0.43577	-0.511892	-0.830641	-0.1539	-0.335079	0.0004876702	2.785298e-05	0.60434	0.39566	0.857358	0.715282
