Iteration	Replicate_ID	Posterior	Likelihood	Prior	mass_extinction_probabilities[1]	mass_extinction_probabilities[2]	mass_extinction_probabilities[3]	mass_extinction_probabilities[4]	mass_extinction_probabilities[5]	mass_extinction_probabilities[6]	mass_extinction_probabilities[7]	mass_extinction_probabilities[8]	mass_extinction_probabilities[9]
250	0	-74.21186	-98.20155	23.98969	0.8907	0	0	0	0	0	0	0	0
251	1	-110.8916	-102.9852	-7.906437	0.843575	0	0	0	0	0	0	0	0
252	0	-149.0605	-100.6393	-48.42118	0.875472	0	0	0	0	0	0	0	0
253	1	-61.77656	-103.0283	41.25177	0	0	0	0	0	0	0	0	0
254	0	-97.41806	-99.88651	2.468449	0.846399	0	0	0	0	0	0	0	0
255	1	-125.5488	-102.5554	-22.99346	0	0	0	0	0	0	0	0	0
256	0	-136.4713	-100.2239	-36.24739	0.855352	0	0	0	0	0	0	0	0
257	1	-104.3553	-101.3224	-3.032852	0	0	0	0	0	0	0	0	0
258	0	-108.9464	-98.18691	-10.75944	0.899665	0	0	0	0	0	0	0	0
259	1	-94.62035	-101.6011	6.980755	0	0	0	0	0	0	0	0	0
260	0	-88.51785	-97.76978	9.251927	0.897187	0	0	0	0	0	0	0	0
261	1	-148.6971	-102.2681	-46.42902	0	0	0	0	0	0	0	0	0
262	0	-117.7094	-96.67504	-21.03432	0.851766	0	0	0	0	0	0	0	0
263	1	-87.71991	-101.892	14.1721	0	0	0	0	0	0	0	0	0
264	0	-139.6801	-99.25474	-40.42532	0.898056	0	0	0	0	0	0	0	0
265	1	-122.8714	-103.8191	-19.05228	0	0	0	0	0	0	0	0	0
266	0	-104.4367	-99.70563	-4.731041	0.928504	0	0	0	0	0	0	0	0
267	1	-122.5247	-106.8818	-15.64288	0	0	0	0	0	0	0	0	0
268	0	-126.5927	-98.75929	-27.83338	0.915761	0	0	0	0	0	0	0	0
269	1	-78.29394	-104.1815	25.88752	0	0	0	0	0	0	0	0	0
270	0	-116.9799	-103.256	-13.72393	0.968238	0	0	0	0	0	0	0	0
271	1	-117.1352	-99.67559	-17.45958	0	0	0	0	0	0	0	0	0
272	0	-60.02743	-97.097	37.06957	0.961656	0	0	0	0.924323	0	0	0	0
273	1	-90.54743	-100.4912	9.943787	0	0	0	0	0	0	0	0	0
