Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction_rate	fossilization_rate	speciation_rate
188	0	-99.83535	-104.6854	4.850049	0.007895486	0.0007592893	0.1003539
189	1	-102.1375	-107.1395	5.001963	0.01748932	0.006291489	0.08227569
190	0	-100.3992	-105.194	4.794798	0.02039909	0.0003553455	0.1024282
191	1	-100.6006	-105.5434	4.942758	0.01427663	0.002440719	0.08961271
192	0	-99.75372	-104.658	4.904303	0.001759804	0.001933823	0.09548576
193	1	-99.46839	-104.5026	5.034228	0.005667055	0.0001347394	0.08213369
194	0	-101.0358	-105.8134	4.777612	0.02850705	0.0008476349	0.1004044
195	1	-102.262	-107.0228	4.76079	0.006758691	0.008504868	0.108741
196	0	-101.9392	-106.4239	4.484714	0.01134973	0.000363793	0.1368706
197	1	-105.0294	-109.3226	4.293247	0.06004488	0.006631675	0.1256675
198	0	-100.6106	-105.3945	4.783866	0.01673439	0.001606668	0.1048135
199	1	-100.4087	-105.2822	4.873497	0.01267135	0.002132365	0.09699749
200	0	-100.5269	-105.2204	4.693588	0.005688716	0.0009661001	0.1163593
201	1	-100.3162	-105.1842	4.867988	0.01899236	0.0004840882	0.09563982
202	0	-99.64754	-104.6414	4.993833	0.00509442	0.001143331	0.08628275
203	1	-102.1055	-106.8353	4.729792	0.0378326	0.002108165	0.09958533
204	0	-100.1748	-105.2447	5.069894	0.002544836	0.003212241	0.07863805
205	1	-101.7903	-106.8908	5.100526	0.0158067	0.003763478	0.07291872
206	0	-103.9212	-108.5621	4.640907	0.01038625	0.01187308	0.1195298
207	1	-105.2111	-110.0795	4.868404	0.0148543	0.01860316	0.09355621
208	0	-100.267	-105.1295	4.862536	0.01899137	0.000317262	0.09618722
209	1	-100.2354	-105.3715	5.136034	0.00490846	0.001587615	0.07164732
210	0	-101.831	-107.1163	5.285355	0.00352854	0.001819101	0.05521191
211	1	-103.2743	-107.8755	4.601217	0.009049294	0.008552228	0.124525
212	0	-101.8943	-106.4276	4.533302	0.0442084	0.0002387783	0.1148529
213	1	-106.1191	-110.0228	3.903689	0.05557728	0.003617935	0.1723449
214	0	-101.8107	-106.8623	5.051669	0.0227288	0.002042837	0.07544376
215	1	-101.8885	-106.4494	4.560906	0.01889478	0.002464386	0.126584
216	0	-99.7174	-104.4945	4.77713	0.001860914	4.451109e-05	0.1082472
217	1	-100.3535	-105.0755	4.721981	0.01535562	0.0001946408	0.1114801
218	0	-101.1053	-105.7581	4.652808	0.0218305	0.001294486	0.1160945
219	1	-100.9522	-105.6274	4.675216	0.01768945	0.001401825	0.115418
220	0	-99.42117	-104.5231	5.101907	0.001660224	0.0003161394	0.07547119
221	1	-99.83361	-104.8839	5.050287	0.008599356	0.0004483016	0.08006521
222	0	-104.3038	-108.548	4.244146	0.02293566	0.001727737	0.1586159
223	1	-99.79036	-104.863	5.072633	0.005021642	0.001077029	0.07825762
224	0	-101.2663	-106.2239	4.957661	0.02608781	0.0007935911	0.08354545
225	1	-100.4059	-105.5913	5.185392	0.006640407	0.0001105835	0.06617735
226	0	-101.4149	-106.1	4.685182	0.02650434	0.002197208	0.1106491
227	1	-100.7011	-105.4127	4.711596	0.01312207	0.001444301	0.1131325
228	0	-99.74072	-104.632	4.89129	0.002926451	0.001577357	0.09674594
229	1	-102.5711	-106.8754	4.304268	0.04391198	0.0001981683	0.1386511
230	0	-100.3988	-105.3552	4.956439	0.0186863	0.0004006991	0.08686663
231	1	-100.7493	-105.4401	4.690803	0.005223889	0.001729471	0.1166714
232	0	-99.47123	-104.5882	5.116916	0.0006810552	0.0005486119	0.07392776
233	1	-99.53807	-104.4429	4.904829	0.001687985	0.001165509	0.0954594
234	0	-101.8534	-106.9118	5.058409	0.001680031	0.009618822	0.07901568
235	1	-102.3713	-107.0375	4.666222	0.04412938	0.001462958	0.1015496
236	0	-100.9233	-105.5849	4.66152	0.002959678	0.001756205	0.1198277
237	1	-101.2811	-106.1849	4.903816	0.01472738	0.00481099	0.09322197
