Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
55	-16876.48	-16886.46	9.979164	0.433477	0.531816	0.496981	0.609725	0.93175	1.06825	0.1013445	0.933928	1.07075	0.465229	0.57077	0.0006294699	0.00062947	0.00062947	0.786747	0.205418	0.00325448	0.00458076	0.448986	0.779167	0.848322	1.47217	0.692181	1.30782	0.4716664	0.727505	1.37456	0.648654	1.12567	0.000470277	0.000226399
56	-16875.41	-16885.06	9.645452	0.422575	0.548644	0.507883	0.659403	0.908316	1.09168	0.1363141	0.912158	1.0963	0.465229	0.604023	0.001092652	0.00109265	0.00109265	0.784259	0.204768	0.00640619	0.00456627	0.448986	0.841733	0.848322	1.59039	0.692181	1.30782	0.4716664	0.727505	1.37456	0.648654	1.21606	0.000317015	0.000181632
57	-16878.62	-16887.69	9.070773	0.414097	0.537636	0.516361	0.67041	0.890092	1.10991	0.1636104	0.895517	1.11667	0.465229	0.604023	0.001885534	0.00188553	0.00188553	0.645943	0.34502	0.00527636	0.00376094	0.465169	0.841733	0.878899	1.59039	0.692181	1.30782	0.4716664	0.727505	1.37456	0.672034	1.21606	0.000371076	0.000265932
58	-16876.11	-16885.21	9.097405	0.439479	0.517079	0.587272	0.690968	0.856057	1.14394	0.214902	0.865066	1.15598	0.513376	0.604023	0.001394965	0.00139497	0.00139497	0.645943	0.34502	0.00527636	0.00376094	0.441986	0.817877	0.872346	1.61424	0.672564	1.32744	0.5040162	0.711803	1.40488	0.657166	1.21606	0.000393372	0.000270986
59	-16875.57	-16884.45	8.886828	0.439479	0.52528	0.587272	0.701927	0.856057	1.14394	0.214902	0.865066	1.15598	0.513376	0.613603	0.001572745	0.00157274	0.00157274	0.641586	0.349471	0.00522136	0.00372174	0.441986	0.817877	0.872346	1.61424	0.672564	1.32744	0.5040162	0.711803	1.40488	0.657166	1.21606	0.000533972	0.000320796
60	-16875.91	-16884.6	8.686944	0.401775	0.561906	0.536889	0.75087	0.856057	1.14394	0.214902	0.865066	1.15598	0.469332	0.656388	0.001849747	0.00184975	0.00184975	0.424351	0.548663	0.00819743	0.0187888	0.441986	0.817877	0.872346	1.61424	0.672564	1.32744	0.5040162	0.711803	1.40488	0.657166	1.21606	0.000736952	0.000260661
61	-16876.67	-16885.32	8.654015	0.401775	0.561906	0.536889	0.75087	0.856057	1.14394	0.214902	0.865066	1.15598	0.469332	0.656388	0.001968299	0.0019683	0.0019683	0.270989	0.694836	0.0103814	0.0237944	0.439496	0.813268	0.874837	1.61885	0.668774	1.33123	0.510319	0.708784	1.41087	0.657166	1.21606	0.000733464	0.000187547
62	-16876.63	-16885.11	8.481419	0.373342	0.537566	0.558429	0.804068	0.80136	1.19864	0.2984727	0.817653	1.22301	0.465885	0.670817	0.001827913	0.00182791	0.00182791	0.270989	0.694836	0.0103814	0.0237944	0.439496	0.813268	0.874837	1.61885	0.668774	1.33123	0.510319	0.708784	1.41087	0.657166	1.21606	0.000838982	0.000252559
63	-16877.07	-16884.91	7.842619	0.373342	0.536583	0.558429	0.802599	0.80136	1.19864	0.2984727	0.817653	1.22301	0.465885	0.669591	0.003133325	0.00313332	0.00313332	0.252134	0.646491	0.00965904	0.0917161	0.435032	0.814479	0.864017	1.61764	0.669769	1.33023	0.5086615	0.709577	1.40929	0.649525	1.21606	0.000830193	0.000193965
64	-16875.32	-16883.5	8.177953	0.373342	0.552398	0.558429	0.826254	0.80136	1.19864	0.2984727	0.817653	1.22301	0.465885	0.689326	0.00271539	0.00271539	0.00271539	0.705972	0.24485	0.00496478	0.0442135	0.440224	0.824201	0.858825	1.60792	0.677764	1.32224	0.4953967	0.715954	1.39674	0.649525	1.21606	0.000628356	0.000167839
