Iteration	Posterior	Likelihood	Prior	birth_rate
4960	-108.5419	-103.9367	-4.60517	0.08869054
4970	-108.5604	-103.9552	-4.60517	0.08552026
4980	-108.6218	-104.0166	-4.60517	0.08177132
4990	-109.6785	-105.0734	-4.60517	0.1205543
5000	-109.4483	-104.8432	-4.60517	0.1169056
5010	-110.1779	-105.5727	-4.60517	0.1275558
5020	-108.8252	-104.22	-4.60517	0.1040763
5030	-108.6018	-103.9966	-4.60517	0.08273151
5040	-108.5491	-103.9439	-4.60517	0.09144903
5050	-109.2505	-104.6453	-4.60517	0.06841467
5060	-108.8847	-104.2795	-4.60517	0.07434905
5070	-108.7135	-104.1083	-4.60517	0.1006383
5080	-109.0939	-104.4887	-4.60517	0.1103975
5090	-108.76	-104.1548	-4.60517	0.07719994
5100	-109.1525	-104.5474	-4.60517	0.06978335
5110	-110.4367	-105.8315	-4.60517	0.1308437
5120	-108.7578	-104.1526	-4.60517	0.102097
5130	-108.7578	-104.1526	-4.60517	0.07725758
5140	-108.7666	-104.1615	-4.60517	0.07702825
5150	-109.3381	-104.7329	-4.60517	0.06728214
5160	-108.6891	-104.0839	-4.60517	0.0792474
5170	-110.0023	-105.3971	-4.60517	0.06046931
5180	-108.6342	-104.029	-4.60517	0.09748898
5190	-109.2098	-104.6046	-4.60517	0.1126826
5200	-108.6374	-104.0323	-4.60517	0.08110555
