Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
294	0	-45.93387	0	-45.93387	0.007589419
295	1	371.4223	0	371.4223	0.0001056552
296	0	-45.90849	0	-45.90849	0.007570237
297	1	371.3604	0	371.3604	0.0001162104
298	0	-45.80296	0	-45.80296	0.006243227
299	1	371.4024	0	371.4024	0.0001152274
300	0	-45.38724	0	-45.38724	0.006824273
301	1	371.5073	0	371.5073	0.000110209
302	0	-45.46401	0	-45.46401	0.007100221
303	1	371.5073	0	371.5073	0.000110209
304	0	-47.65891	0	-47.65891	0.008505742
305	1	369.6878	0	369.6878	9.155704e-05
306	0	-45.45886	0	-45.45886	0.00709065
307	1	371.5073	0	371.5073	0.0001101885
308	0	-45.44919	0	-45.44919	0.006593288
309	1	371.4639	0	371.4639	0.0001133476
310	0	-45.82671	0	-45.82671	0.006227773
311	1	371.2034	0	371.2034	0.0001190523
312	0	-46.07557	0	-46.07557	0.007690181
313	1	370.9619	0	370.9619	0.0001223313
314	0	-45.93595	0	-45.93595	0.007590972
315	1	368.8297	0	368.8297	8.816432e-05
316	0	-45.62396	0	-45.62396	0.006380095
317	1	371.2346	0	371.2346	0.0001185554
318	0	-46.01089	0	-46.01089	0.007645397
319	1	368.6278	0	368.6278	0.0001411254
320	0	-45.48488	0	-45.48488	0.00713617
321	1	370.4543	0	370.4543	0.0001276038
322	0	-45.63782	0	-45.63782	0.00636779
323	1	370.6145	0	370.6145	9.66283e-05
324	0	-45.39578	0	-45.39578	0.00691658
325	1	371.2552	0	371.2552	0.0001026289
326	0	-47.44437	0	-47.44437	0.008412612
327	1	370.6044	0	370.6044	0.0001261832
328	0	-46.70812	0	-46.70812	0.005832195
329	1	371.5016	0	371.5016	0.0001112387
330	0	-48.00497	0	-48.00497	0.005482291
331	1	369.8292	0	369.8292	0.0001328168
332	0	-46.03277	0	-46.03277	0.007660758
333	1	371.1247	0	371.1247	0.0001010033
334	0	-45.85833	0	-45.85833	0.006207899
335	1	371.0866	0	371.0866	0.0001207422
336	0	-45.55855	0	-45.55855	0.007240523
337	1	369.0215	0	369.0215	8.885467e-05
338	0	-45.55572	0	-45.55572	0.006447328
339	1	371.281	0	371.281	0.000103001
340	0	-45.86574	0	-45.86574	0.006203355
341	1	371.4202	0	371.4202	0.0001147568
