Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	p_th	sigma2	t_half	theta
226	0	-281.5385	0	-281.5385	0.1354625	0.8124521	0.2196768	5.116892	-6.312608
227	1	225.3969	0	225.3969	0.1175898	0.785039	0.001910616	5.894618	3.048661
228	0	-284.1208	0	-284.1208	0.1206254	0.7902114	0.2882233	5.746278	-6.538747
229	1	224.8627	0	224.8627	0.1229269	0.7939803	0.002108808	5.638692	3.048661
230	0	-279.9807	0	-279.9807	0.1303806	0.805356	0.249296	5.316338	-6.437445
231	1	224.9676	0	224.9676	0.1779966	0.8566911	0.002507548	3.894159	3.048661
232	0	-280.4978	0	-280.4978	0.1391752	0.817332	0.2639523	4.980392	-6.432843
233	1	225.3579	0	225.3579	0.1705233	0.8504582	0.002421816	4.064825	3.045888
234	0	-280.5247	0	-280.5247	0.1055734	0.7620252	0.1574541	6.565545	-6.478364
235	1	222.3974	0	222.3974	0.1981765	0.8712179	0.002327158	3.497625	3.045888
236	0	-282.2209	0	-282.2209	0.08076299	0.6972297	0.2109561	8.582485	-6.50037
237	1	224.5047	0	224.5047	0.2050785	0.8755395	0.003064118	3.379911	3.045888
238	0	-277.885	0	-277.885	0.07428607	0.6750288	0.1316227	9.330782	-6.447696
239	1	225.1339	0	225.1339	0.1625614	0.8432063	0.002177563	4.26391	3.045888
240	0	-278.5616	0	-278.5616	0.09733554	0.743483	0.1967737	7.121214	-6.487448
241	1	224.8933	0	224.8933	0.1682234	0.8484317	0.002713029	4.120398	3.045888
242	0	-277.7876	0	-277.7876	0.08400217	0.7073731	0.1473481	8.251539	-6.463489
243	1	222.3344	0	222.3344	0.1538032	0.8343945	0.002353116	4.506714	3.061284
244	0	-277.5816	0	-277.5816	0.06142898	0.6218418	0.1297241	11.28372	-6.41146
245	1	223.8539	0	223.8539	0.1065452	0.7640523	0.001817854	6.505666	3.032265
246	0	-278.6634	0	-278.6634	0.06824903	0.651722	0.1621231	10.15615	-6.433132
247	1	220.9326	0	220.9326	0.1078546	0.7667345	0.001401361	6.426684	3.028451
248	0	-277.3636	0	-277.3636	0.08130531	0.6989701	0.15267	8.525239	-6.418201
249	1	222.6975	0	222.6975	0.09602274	0.740286	0.001509899	7.218573	3.060776
250	0	-279.5706	0	-279.5706	0.06566822	0.6408898	0.1655957	10.55529	-6.402472
251	1	223.0401	0	223.0401	0.1133799	0.7774607	0.001818753	6.113495	3.060776
