Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
378	0	-37.22758	-37.34097	0.1133923	0.09693456
379	1	-37.28853	-37.41367	0.1251397	0.0958025
380	0	-37.84509	-38.06213	0.2170423	0.08739046
381	1	-37.16214	-37.26242	0.1002761	0.09821436
382	0	-37.15183	-37.24999	0.09815816	0.09842259
383	1	-37.45043	-37.60488	0.1544423	0.09303597
384	0	-37.75479	-37.95842	0.2036291	0.08857054
385	1	-37.45043	-37.60488	0.1544423	0.09303597
386	0	-37.25666	-37.37571	0.1190504	0.09638765
387	1	-38.23598	-38.5063	0.2703269	0.08285578
388	0	-37.49425	-37.65621	0.1619563	0.09233951
389	1	-37.60507	-37.78534	0.180271	0.09066374
390	0	-37.49425	-37.65621	0.1619563	0.09233951
391	1	-37.14071	-37.23657	0.09585637	0.0986494
392	0	-38.49378	-38.79581	0.3020351	0.0802698
393	1	-37.87965	-38.10171	0.2220538	0.0869536
394	0	-37.24168	-37.35783	0.1161491	0.09666771
395	1	-37.41513	-37.56339	0.1482662	0.09361234
396	0	-37.70892	-37.90555	0.1966293	0.0891927
397	1	-37.4062	-37.55288	0.1466857	0.09376042
398	0	-38.53937	-38.84678	0.3074069	0.07983976
399	1	-41.38926	-41.95021	0.5609477	0.06195949
400	0	-38.12623	-38.3823	0.2560651	0.08404592
401	1	-37.28436	-37.40871	0.1243496	0.09587822
402	0	-37.42782	-37.57832	0.1504988	0.09340358
403	1	-37.28436	-37.40871	0.1243496	0.09587822
404	0	-37.42782	-37.57832	0.1504988	0.09340358
405	1	-37.28436	-37.40871	0.1243496	0.09587822
406	0	-37.71187	-37.90895	0.1970827	0.08915227
407	1	-37.28436	-37.40871	0.1243496	0.09587822
408	0	-37.20737	-37.31677	0.1093994	0.09732239
409	1	-37.28436	-37.40871	0.1243496	0.09587822
410	0	-37.56207	-37.73535	0.1732763	0.09130013
411	1	-37.89778	-38.12244	0.2246568	0.08672756
412	0	-37.30414	-37.43222	0.1280796	0.09552126
413	1	-37.36596	-37.50544	0.1394745	0.09443899
414	0	-37.2	-37.30793	0.1079314	0.09746536
415	1	-37.7473	-37.94979	0.2024952	0.08867103
416	0	-37.59042	-37.76832	0.1779031	0.09087867
417	1	-38.44459	-38.74075	0.2961638	0.08074246
418	0	-37.33778	-37.47211	0.1343285	0.09492622
419	1	-37.83649	-38.05228	0.2157856	0.08750035
420	0	-37.58038	-37.75665	0.176271	0.09102712
421	1	-38.69966	-39.02545	0.3257874	0.07838567
422	0	-37.18826	-37.29383	0.1055767	0.09769513
423	1	-37.07989	-37.16285	0.08295135	0.09993072
424	0	-38.42755	-38.72166	0.294112	0.08090831
425	1	-38.97097	-39.32625	0.3552809	0.07610756
426	0	-37.12139	-37.21321	0.09181642	0.09904874
427	1	-37.30147	-37.42905	0.127579	0.0955691
428	0	-37.19581	-37.3029	0.1070931	0.0975471
429	1	-37.31613	-37.44645	0.1303201	0.09530748
430	0	-39.83476	-40.27329	0.4385332	0.07002801
431	1	-37.41633	-37.56481	0.148478	0.09359252
432	0	-38.32303	-38.60433	0.2813015	0.08195144
433	1	-37.18938	-37.29518	0.1058021	0.09767311
434	0	-37.1684	-37.26995	0.101554	0.09808892
435	1	-38.1734	-38.43565	0.2622553	0.08352727
436	0	-37.46584	-37.62294	0.1571017	0.09278887
437	1	-37.84481	-38.06181	0.2170013	0.08739405
438	0	-37.18766	-37.29312	0.1054569	0.09770684
439	1	-37.15065	-37.24857	0.09791496	0.09844653
440	0	-39.60563	-40.02343	0.4177946	0.07149545
441	1	-37.09017	-37.17535	0.08517241	0.09970901
442	0	-37.86567	-38.0857	0.220034	0.08712941
443	1	-37.09017	-37.17535	0.08517241	0.09970901
444	0	-37.86567	-38.0857	0.220034	0.08712941
445	1	-37.15744	-37.25675	0.09931135	0.09830915
446	0	-37.49646	-37.65879	0.1623308	0.09230494
447	1	-38.38222	-38.67082	0.2886032	0.08135524
448	0	-37.15343	-37.25191	0.09848666	0.09839026
449	1	-37.342	-37.47711	0.135105	0.09485254
450	0	-37.1915	-37.29772	0.1062281	0.09763152
451	1	-37.31467	-37.44472	0.1300479	0.09533343
452	0	-37.1915	-37.29772	0.1062281	0.09763152
453	1	-37.35571	-37.49332	0.1376113	0.0946151
454	0	-37.35514	-37.49265	0.1375082	0.09462487
455	1	-37.32666	-37.45894	0.1322762	0.09512124
456	0	-37.34816	-37.4844	0.1362339	0.09474552
457	1	-37.24363	-37.36016	0.1165275	0.09663114
458	0	-37.34816	-37.4844	0.1362339	0.09474552
459	1	-39.72284	-40.15134	0.4285099	0.07073345
460	0	-38.19435	-38.45933	0.2649757	0.08330035
461	1	-37.37162	-37.51212	0.1404982	0.09434236
462	0	-37.15262	-37.25094	0.09832035	0.09840662
463	1	-37.20314	-37.31169	0.1085573	0.09740438
464	0	-38.03319	-38.27676	0.243571	0.08510259
465	1	-37.21354	-37.32417	0.1106245	0.09720323
466	0	-37.40776	-37.55472	0.1469628	0.09373444
467	1	-37.09874	-37.18575	0.08701022	0.09952593
468	0	-37.67652	-37.86812	0.191603	0.08964214
469	1	-37.09874	-37.18575	0.08701022	0.09952593
470	0	-37.76338	-37.9683	0.2049259	0.08845576
471	1	-37.49811	-37.66072	0.1626097	0.0922792
472	0	-37.8908	-38.11446	0.2236566	0.08681435
473	1	-37.49811	-37.66072	0.1626097	0.0922792
474	0	-38.56726	-38.87792	0.3106605	0.07958041
475	1	-37.28814	-37.4132	0.125064	0.09580975
476	0	-38.72193	-39.05022	0.3282825	0.07819033
477	1	-37.29347	-37.41955	0.1260732	0.09571311
478	0	-38.15998	-38.42048	0.2605036	0.08367371
479	1	-37.09995	-37.18722	0.08726994	0.09950009
480	0	-38.26981	-38.54444	0.2746265	0.0825003
481	1	-38.3856	-38.67462	0.2890166	0.08132161
482	0	-37.09201	-37.17758	0.08556712	0.09966966
483	1	-37.07851	-37.16116	0.08265051	0.09996078
484	0	-37.15831	-37.2578	0.09949045	0.09829155
485	1	-37.11348	-37.20363	0.09014727	0.09921421
486	0	-37.19365	-37.30031	0.1066611	0.09758925
487	1	-37.17799	-37.2815	0.1035042	0.09789782
488	0	-37.19365	-37.30031	0.1066611	0.09758925
489	1	-39.5975	-40.01454	0.4170422	0.07154927
490	0	-37.07954	-37.16241	0.08287377	0.09993847
491	1	-38.02474	-38.26715	0.242416	0.08520094
492	0	-38.0609	-38.30823	0.2473318	0.08478313
493	1	-38.02474	-38.26715	0.242416	0.08520094
494	0	-37.69278	-37.88691	0.1941336	0.08941558
495	1	-37.79372	-38.00319	0.2094698	0.08805474
