Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
83	1	-67.68403	-90.27965	22.59562	0	0	1	0	0.004527364	0.003821695	0.00213213	0.004501745	0.03049083	0.03049083	0.01698313	0.009444206	0.399882	0.10658	0.411787	0.0817512
84	0	-66.22284	-86.42673	20.20389	0	0	1	0	0.01065293	0.002020272	0.001285838	0.003430806	0.04565931	0.04565931	0.02144864	0.001084171	0.138811	0.0795751	0.167934	0.61368
85	1	-66.7564	-89.99991	23.24351	0	0	0	1	0.006893316	0.002797018	0.001642416	0.005765338	0.03188288	0.002231054	0.01698313	0.01698313	0.54041	0.142545	0.288552	0.0284918
86	0	-70.02321	-88.48971	18.4665	0	1	1	0	0.009276455	0.001274545	0.001586142	0.001586142	0.03186039	0.03186039	0.02144864	0.0005366302	0.262814	0.150661	0.317952	0.268572
87	1	-78.3525	-94.40702	16.05452	0	1	1	1	0.003364016	0.002324049	0.001642416	0.001642416	0.01827558	0.01827558	0.02463631	0.02463631	0.234335	0.172846	0.580465	0.0123547
88	0	-67.48962	-88.59932	21.1097	0	0	1	0	0.003554616	0.0009138847	0.002942577	0.008575993	0.04383162	0.04383162	0.01642609	0.00415589	0.195414	0.112023	0.383919	0.308643
89	1	-75.05729	-95.1227	20.06542	0	0	1	1	0.003401177	0.002111657	0.001412249	0.006520129	0.01875537	0.01875537	0.02463631	0.02463631	0.500615	0.179828	0.293164	0.0263937
90	0	-67.34955	-89.7075	22.35795	0	0	0	0	0.003920724	0.007697817	0.001425556	0.0008116328	0.05035006	0.01699162	0.01054785	0.01105249	0.157517	0.0902986	0.309465	0.442719
91	1	-77.06147	-94.351	17.28952	1	1	0	0	0.003759215	0.003759215	0.002110719	0.002110719	0.02049419	0.01282406	0.02463631	0.008890707	0.232898	0.276232	0.450327	0.0405431
92	0	-72.9457	-85.97888	13.03318	0	1	1	1	0.004682264	0.0004425252	0.001425556	0.001425556	0.05035006	0.05035006	0.01062421	0.01062421	0.157517	0.0902986	0.309465	0.442719
93	1	-72.7858	-93.89305	21.10725	1	0	0	1	0.003759215	0.003759215	0.003359083	1.008346e-05	0.02049419	0.008829803	0.01442518	0.01442518	0.237383	0.262293	0.459	0.0413239
94	0	-76.13799	-88.74894	12.61095	1	0	1	1	0.004682264	0.004682264	0.001668307	0.006245025	0.05035006	0.05035006	0.006994138	0.006994138	0.146582	0.0840301	0.287982	0.481405
