state	power	likelihood
2760	0.773781	-135.147
2770	0.773781	-133.555
2780	0.773781	-136.095
2790	0.773781	-139.077
2800	0.773781	-137.304
2810	0.773781	-138.317
2820	0.773781	-138.715
2830	0.773781	-139.485
2840	0.773781	-136.74
2850	0.773781	-137.804
2860	0.773781	-136.489
2870	0.773781	-140.326
2880	0.773781	-137.733
2890	0.773781	-136.371
2900	0.773781	-137.556
2910	0.773781	-134.869
2920	0.773781	-142.03
2930	0.773781	-140.675
2940	0.773781	-137.678
2950	0.773781	-134.866
2960	0.773781	-135.871
2970	0.773781	-135.77
2980	0.773781	-135.975
2990	0.773781	-137.71
3000	0.773781	-134.556
3010	0.773781	-135.925
3020	0.773781	-136.39
3030	0.773781	-138.724
3040	0.773781	-138.51
3050	0.773781	-138.65
3060	0.773781	-136.803
3070	0.773781	-137.494
3080	0.773781	-137.082
3090	0.773781	-138.481
3100	0.773781	-136.958
3110	0.773781	-137.506
3120	0.773781	-134.197
3130	0.773781	-137.814
3140	0.773781	-137.12
3150	0.773781	-133.875
3160	0.773781	-139.292
3170	0.773781	-141.006
3180	0.773781	-136.75
3190	0.773781	-136.093
3200	0.773781	-138.5
3210	0.773781	-134.891
3220	0.773781	-135.894
3230	0.773781	-136.188
3240	0.773781	-137.612
3250	0.773781	-137.891
3260	0.773781	-138.747
3270	0.773781	-137.352
3280	0.773781	-134.541
3290	0.773781	-135.078
3300	0.773781	-133.779
3310	0.773781	-136.884
3320	0.773781	-141.137
3330	0.773781	-142.222
3340	0.773781	-136.343
3350	0.773781	-138.59
3360	0.773781	-134.82
3370	0.773781	-135.111
3380	0.773781	-142.425
3390	0.773781	-135.695
3400	0.773781	-138.117
3410	0.773781	-135.695
3420	0.773781	-136.128
3430	0.773781	-137.817
3440	0.773781	-136.95
3450	0.773781	-138.399
3460	0.773781	-135.451
3470	0.773781	-137.945
3480	0.773781	-138.216
3490	0.773781	-134.734
3500	0.773781	-140.801
3510	0.773781	-139.042
3520	0.773781	-134.825
3530	0.773781	-133.147
3540	0.773781	-132.183
3550	0.773781	-138.82
3560	0.773781	-133.694
