Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate
357	1	-108.5441	-103.9389	-4.60517	0.0878158
358	0	-108.657	-104.0518	-4.60517	0.08034989
359	1	-109.5925	-104.9874	-4.60517	0.1192304
360	0	-111.1996	-106.5945	-4.60517	0.0521051
361	1	-108.9219	-104.3167	-4.60517	0.1065738
362	0	-108.9474	-104.3423	-4.60517	0.07313501
363	1	-109.0509	-104.4457	-4.60517	0.07134679
364	0	-108.6145	-104.0093	-4.60517	0.08210513
365	1	-108.5866	-103.9814	-4.60517	0.09490253
366	0	-108.599	-103.9938	-4.60517	0.09566895
367	1	-110.9144	-106.3092	-4.60517	0.1364872
368	0	-108.6106	-104.0054	-4.60517	0.09631558
369	1	-109.0085	-104.4034	-4.60517	0.1085779
370	0	-108.8702	-104.265	-4.60517	0.07464749
371	1	-111.1543	-106.5492	-4.60517	0.1391569
372	0	-109.9842	-105.379	-4.60517	0.06062533
373	1	-108.6303	-104.0251	-4.60517	0.0973049
374	0	-108.5628	-103.9576	-4.60517	0.08530102
375	1	-109.5458	-104.9407	-4.60517	0.0648651
376	0	-109.1584	-104.5532	-4.60517	0.1116925
377	1	-108.717	-104.1119	-4.60517	0.1007616
378	0	-109.0691	-104.4639	-4.60517	0.1098819
379	1	-109.5658	-104.9606	-4.60517	0.0646496
380	0	-108.6992	-104.094	-4.60517	0.1001317
381	1	-111.2825	-106.6774	-4.60517	0.1405459
382	0	-109.6588	-105.0536	-4.60517	0.1202546
383	1	-108.8529	-104.2478	-4.60517	0.1048277
384	0	-109.1177	-104.5125	-4.60517	0.1108818
385	1	-109.14	-104.5348	-4.60517	0.06996741
386	0	-108.6319	-104.0267	-4.60517	0.09737967
387	1	-108.5454	-103.9403	-4.60517	0.08749506
388	0	-108.5619	-103.9567	-4.60517	0.09297974
389	1	-108.6092	-104.0041	-4.60517	0.0962437
390	0	-109.5471	-104.9419	-4.60517	0.06485189
391	1	-111.2277	-106.6225	-4.60517	0.1399548
392	0	-109.6966	-105.0914	-4.60517	0.1208267
393	1	-108.5452	-103.9401	-4.60517	0.08753444
394	0	-108.5681	-103.9629	-4.60517	0.09353866
395	1	-108.9194	-104.3142	-4.60517	0.0736635
396	0	-109.7786	-105.1734	-4.60517	0.06249618
397	1	-108.5479	-103.9427	-4.60517	0.08703401
398	0	-108.5507	-103.9455	-4.60517	0.09168809
399	1	-108.6015	-103.9963	-4.60517	0.09581249
400	0	-109.6612	-105.056	-4.60517	0.06365327
401	1	-109.6009	-104.9957	-4.60517	0.06427698
402	0	-108.8679	-104.2628	-4.60517	0.07469377
403	1	-109.2055	-104.6004	-4.60517	0.1126018
404	0	-109.1642	-104.559	-4.60517	0.1118063
405	1	-108.89	-104.2848	-4.60517	0.07424261
406	0	-108.81	-104.2048	-4.60517	0.1036514
407	1	-111.2191	-106.6139	-4.60517	0.1398617
408	0	-108.572	-103.9668	-4.60517	0.08455216
409	1	-108.6217	-104.0165	-4.60517	0.08177748
