Iteration	Replicate_ID	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
173	1	-170.7433	-118.494	-52.24931	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
174	0	-170.1796	-117.501	-52.6786	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
175	1	-152.2862	-117.0791	-35.20711	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
176	0	-177.0781	-117.3324	-59.7457	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
177	1	-167.534	-122.5359	-44.99811	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
178	0	-147.6594	-115.441	-32.21843	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
179	1	-160.4803	-115.1093	-45.37103	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
180	0	-168.7458	-118.5542	-50.19163	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
181	1	-146.8159	-114.5438	-32.27219	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
182	0	-166.8418	-116.2526	-50.58921	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
183	1	-160.3659	-117.2385	-43.12742	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
184	0	-177.3312	-118.6782	-58.65303	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
185	1	-181.7995	-116.096	-65.7035	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
186	0	-168.4781	-114.371	-54.1071	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
187	1	-197.5754	-115.0829	-82.49251	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
188	0	-172.9435	-113.6138	-59.3297	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
189	1	-160.1722	-113.6692	-46.50294	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
190	0	-180.0932	-113.4261	-66.66706	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
191	1	-169.2858	-112.014	-57.27175	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
192	0	-185.006	-116.3594	-68.64655	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
193	1	-160.7315	-111.966	-48.7655	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
194	0	-186.3955	-115.8763	-70.51922	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
195	1	-157.4771	-111.7067	-45.77039	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
196	0	-187.0129	-114.3274	-72.68554	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
197	1	-141.3631	-112.2841	-29.07892	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
198	0	-173.3519	-114.0951	-59.25675	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
199	1	-142.7877	-116.4858	-26.3019	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
200	0	-175.7222	-113.7206	-62.00153	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
201	1	-159.708	-114.4996	-45.20837	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
202	0	-167.9818	-116.6121	-51.36977	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
203	1	-174.0203	-115.3035	-58.71678	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
204	0	-158.4161	-114.1622	-44.25392	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
